phase,epoch,tr_loss,vl_loss,tr_auc,vl_auc,vl_recall,vl_f1
1,P1-1,0.2488257903389949,0.25888814985215125,0.8954529180093089,0.8962962962962964,0.6296296296296297,0.7669172932330827
1,P1-2,0.18436629014470862,0.20230368021372203,0.9408043919322114,0.9238683127572017,0.7407407407407407,0.8391608391608392
1,P1-3,0.16900906611133265,0.22301521709373406,0.9524641577060933,0.9246913580246913,0.7160493827160493,0.8226950354609929
1,P1-4,0.1522451781283014,0.20216293914898023,0.9589447625864949,0.9168724279835391,0.7901234567901234,0.8590604026845637
1,P1-5,0.1326619728996947,0.20375091186514846,0.9682319411492606,0.9160493827160493,0.8641975308641975,0.8860759493670886
1,P1-6,0.16037072133431104,0.21443195010090735,0.9564311594202898,0.9181069958847736,0.7160493827160493,0.8226950354609929
1,P1-7,0.12229800632791629,0.19805306867436245,0.973995377618728,0.9209876543209876,0.7777777777777778,0.8571428571428571
1,P1-8,0.13728262507087016,0.21700936609560306,0.9700511322132944,0.91440329218107,0.7530864197530864,0.8472222222222222
1,P1-9,0.14967052264563366,0.19735607558542545,0.9592880249250906,0.9205761316872427,0.7901234567901234,0.8707482993197279
1,P1-10,0.14902269139770835,0.2031681824911822,0.9592728465759962,0.9176954732510287,0.7777777777777778,0.863013698630137
2,P2-1,0.16371829560364534,0.19544544037397918,0.951357246365986,0.928395061728395,0.8024691358024691,0.87248322147651
2,P2-2,0.15684159077042317,0.18872913959864024,0.9544247523570832,0.9246913580246914,0.8395061728395061,0.8888888888888888
2,P2-3,0.14086489534746266,0.19020406029245876,0.9659321326335879,0.9234567901234567,0.8271604938271605,0.8874172185430463
2,P2-4,0.1328305550868907,0.18705274741928857,0.9694704328752406,0.9320987654320987,0.7901234567901234,0.8648648648648649
2,P2-5,0.1267227936665524,0.17301572550524463,0.9733142507864097,0.937037037037037,0.8641975308641975,0.9090909090909091
2,P2-6,0.1306745180407086,0.16820228999262457,0.9709338280766853,0.9403292181069959,0.8518518518518519,0.9019607843137255
2,P2-7,0.1398805662932083,0.16121815802814723,0.9705493448731819,0.942798353909465,0.9135802469135802,0.9308176100628931
2,P2-8,0.11845164380708717,0.16107710524722263,0.9762171362028038,0.942798353909465,0.9135802469135802,0.9308176100628931
2,P2-9,0.14219626821721382,0.15987066441291087,0.9630871982944974,0.9436213991769548,0.9012345679012346,0.9299363057324841
2,P2-10,0.12163654096338279,0.15156319777707797,0.974561992097219,0.9497942386831275,0.8888888888888888,0.9171974522292994
2,P2-11,0.10998504467912622,0.1569218075758702,0.9800992786550892,0.9436213991769546,0.8765432098765432,0.9161290322580645
2,P2-12,0.0965048517729785,0.15490606319796932,0.9848240906380441,0.9448559670781892,0.8888888888888888,0.9171974522292994
2,P2-13,0.09578286980109786,0.1525446986024444,0.9845825178899562,0.948559670781893,0.8888888888888888,0.9230769230769231
2,P2-14,0.10847672501499818,0.1489871697382884,0.9804272853495767,0.9522633744855967,0.8888888888888888,0.9230769230769231
2,P2-15,0.1238832161204465,0.1541179084294551,0.9756294964028778,0.9469135802469135,0.9012345679012346,0.9240506329113924
2,P2-16,0.10562816078138167,0.14559945746048078,0.9836917562724015,0.9506172839506173,0.9012345679012346,0.9299363057324841
2,P2-17,0.09248963360850876,0.14498495236710385,0.9834339819578022,0.9526748971193416,0.8888888888888888,0.9230769230769231
2,P2-18,0.10114186234110571,0.15415473738769153,0.9815652958424178,0.9493827160493826,0.8641975308641975,0.9090909090909091
2,P2-19,0.1152243758605714,0.15738967920208838,0.9786089848255615,0.9460905349794239,0.8641975308641975,0.9090909090909091
2,P2-20,0.08944686341124612,0.15012251082304362,0.9870900417412045,0.9497942386831275,0.8888888888888888,0.9230769230769231
2,P2-21,0.11413955246907403,0.14624115341418498,0.9769297303746123,0.9530864197530864,0.8765432098765432,0.9161290322580645
2,P2-22,0.13249727841970083,0.14984467316855182,0.9771332036140399,0.9493827160493827,0.9135802469135802,0.9367088607594937
2,P2-23,0.10095053683952016,0.14940856074964678,0.9813348837902709,0.9502057613168724,0.9135802469135802,0.9308176100628931
2,P2-24,0.08797290964361323,0.14617585048482223,0.986776391311478,0.9522633744855966,0.8888888888888888,0.9230769230769231
2,P2-25,0.0917587207781302,0.1474390664884636,0.9872799749182604,0.951440329218107,0.8765432098765432,0.9161290322580645
2,P2-26,0.08330341117837714,0.15648368041257602,0.9889197089000239,0.9489711934156378,0.8765432098765432,0.9161290322580645
2,P2-27,0.08367957087039488,0.1454565188100746,0.9891746812793558,0.9522633744855966,0.9012345679012346,0.9299363057324841
2,P2-28,0.08932537490566725,0.15165887303180522,0.9850008216681357,0.9502057613168724,0.8641975308641975,0.9090909090909091
